eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
CL0001,Desktop,Page,10007994,Appr Invoices,,,2,0,"10/30/2025, 2:25:43.382 PM","10/31/2025, 7:15:05.409 AM",0.1,NaN,,
RT0018,Background,Report,496,Batch Post Purchase Orders,Base Application,Microsoft,2,0,"10/31/2025, 8:14:03.107 AM","10/31/2025, 8:14:08.558 AM",0.1,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,10003013,Winn Collectors Communication,,,2,0,"10/30/2025, 1:32:25.882 PM","10/31/2025, 7:20:15.252 AM",0.1,NaN,,
CL0001,Desktop,Page,124,Comment Sheet,,,2,0,"10/30/2025, 10:57:20.996 AM","10/30/2025, 11:03:21.557 AM",0.1,NaN,,
CL0001,Desktop,Page,10003049,Winn Payments From Collector,,,2,0,"10/30/2025, 1:32:48.695 PM","10/31/2025, 7:20:37.001 AM",0.1,NaN,,
CL0001,Desktop,Page,255,Cash Receipt Journal,,,2,0,"10/30/2025, 1:33:02.890 PM","10/31/2025, 7:20:49.353 AM",0.1,NaN,,
CL0001,Desktop,Page,10008171,Iobs Statements - Process,,,2,0,"10/30/2025, 1:38:45.231 PM","10/31/2025, 7:23:37.393 AM",0.1,NaN,,
RT0018,Background,CodeUnit,10008431,RSM Read Xml Functions,Wise e-Invoices,Wise,2,0,"10/30/2025, 8:17:37.423 PM","10/30/2025, 8:17:37.423 PM",0.1,NaN,,Operation exceeded time threshold (AL method)
RT0005,WebClient,Page,143,Posted Sales Invoices,Base Application,Microsoft,2,0,"10/30/2025, 2:54:53.633 PM","10/30/2025, 2:54:54.681 PM",0.1,NaN,,Operation exceeded time threshold (SQL query)
CL0001,Desktop,Page,99001453,LSC Item Barcodes,,,2,0,"10/30/2025, 9:49:59.088 AM","10/30/2025, 10:27:33.247 AM",0.1,NaN,,
CL0001,Desktop,Page,40,Item Journal,,,2,0,"10/30/2025, 9:40:17.424 AM","10/30/2025, 3:04:08.432 PM",0.1,NaN,,
CL0001,Desktop,Page,262,Item Journal Batches,,,2,0,"10/30/2025, 9:40:11.386 AM","10/30/2025, 3:04:04.593 PM",0.1,NaN,,
CL0001,Desktop,Page,113,Customer/Item Sales,,,2,0,"10/30/2025, 8:44:00.078 AM","10/30/2025, 11:36:08.082 AM",0.1,NaN,,
RT0018,Background,CodeUnit,59000,LiquorLicenseMgt,Liquor License,Hagar,2,0,"10/31/2025, 8:02:17.820 AM","10/31/2025, 8:02:17.820 AM",0.1,NaN,,Operation exceeded time threshold (AL method)
CL0001,Desktop,Page,-1,Lookupform27_Item,,,2,0,"10/30/2025, 1:39:02.514 PM","10/30/2025, 1:40:37.167 PM",0.1,NaN,,
CL0001,Desktop,Page,388,Bank Acc. Reconciliation List,,,2,0,"10/30/2025, 1:35:54.174 PM","10/31/2025, 7:21:22.005 AM",0.1,NaN,,
RT0028,Background,CodeUnit,703,Find Record Management,Base Application,Microsoft,2,0,"10/31/2025, 8:10:02.283 AM","10/31/2025, 8:10:07.287 AM",0.1,NaN,,Database deadlock occurred
CL0001,Desktop,Page,672,Job Queue Entries,,,2,0,"10/30/2025, 4:48:08.026 PM","10/30/2025, 4:48:11.940 PM",0.1,NaN,,
CL0001,Desktop,Page,-1,Lookupform13_Salesperson/Purchaser,,,2,0,"10/30/2025, 9:20:41.823 AM","10/31/2025, 8:05:10.016 AM",0.1,NaN,,
CL0001,Desktop,Page,53,Purchase List,,,2,0,"10/30/2025, 3:10:03.521 PM","10/31/2025, 8:19:39.874 AM",0.1,NaN,,
CL0001,Desktop,Page,1306,Standard Sales - Invoice,,,1,0,"10/30/2025, 12:33:01.754 PM","10/30/2025, 12:33:01.754 PM",0,NaN,,
CL0001,Desktop,Page,982,Payment Registration Setup,,,1,0,"10/30/2025, 10:20:03.130 AM","10/30/2025, 10:20:03.130 AM",0,NaN,,
CL0001,Desktop,Page,-1,Lookupform_42023715,,,1,0,"10/30/2025, 2:28:20.383 PM","10/30/2025, 2:28:20.383 PM",0,NaN,,
